日付け,終値,始値,高値,安値,出来高,前日比%
1992年11月,17684.00 ,16733.00 ,17684.00 ,15942.00 ,-,5.47%
1992年12月,16925.00 ,17675.00 ,17788.00 ,16892.00 ,-,-4.29%
1993年1月,17024.00 ,16980.00 ,17178.00 ,16216.00 ,-,0.58%
1993年2月,16953.00 ,17038.00 ,17419.00 ,16751.00 ,-,-0.42%
1993年3月,18591.00 ,16956.00 ,19126.00 ,16721.00 ,-,9.66%
1993年4月,20919.00 ,18596.00 ,20919.00 ,18527.00 ,-,12.52%
1993年5月,20552.00 ,20939.00 ,21225.00 ,20123.00 ,-,-1.75%
1993年6月,19590.00 ,20532.00 ,21223.00 ,19040.00 ,-,-4.68%
1993年7月,20380.00 ,19639.00 ,20546.00 ,19545.00 ,-,4.03%
1993年8月,21027.00 ,20393.00 ,21030.00 ,20231.00 ,-,3.17%
1993年9月,20106.00 ,20929.00 ,21281.00 ,19928.00 ,-,-4.38%
1993年10月,19703.00 ,20097.00 ,20530.00 ,19444.00 ,-,-2.00%
1993年11月,16407.00 ,19657.00 ,19657.00 ,15672.00 ,-,-16.73%
1993年12月,17417.00 ,16450.00 ,18052.00 ,16217.00 ,-,6.16%
1994年1月,20229.00 ,17422.00 ,20229.00 ,17242.00 ,-,16.15%
1994年2月,19997.00 ,20256.00 ,20526.00 ,18769.00 ,-,-1.15%
1994年3月,19112.00 ,20053.00 ,20782.00 ,19083.00 ,-,-4.43%
1994年4月,19725.00 ,19162.00 ,20495.00 ,18896.00 ,-,3.21%
1994年5月,20974.00 ,19649.00 ,21049.00 ,19489.00 ,-,6.33%
1994年6月,20644.00 ,20989.00 ,21573.00 ,20169.00 ,-,-1.57%
1994年7月,20449.00 ,20618.00 ,20908.00 ,19994.00 ,-,-0.94%
1994年8月,20629.00 ,20422.00 ,20876.00 ,20271.00 ,-,0.88%
1994年9月,19564.00 ,20634.00 ,20701.00 ,19414.00 ,-,-5.16%
1994年10月,19990.00 ,19580.00 ,20177.00 ,19488.00 ,-,2.18%
1994年11月,19076.00 ,19929.00 ,19929.00 ,18666.00 ,-,-4.57%
1994年12月,19723.00 ,19061.00 ,19833.00 ,18823.00 ,-,3.39%
1995年1月,18650.00 ,19725.00 ,19725.00 ,17699.00 ,-,-5.44%
1995年2月,17053.00 ,18647.00 ,18869.00 ,16518.00 ,-,-8.56%
1995年3月,16140.00 ,17018.00 ,17162.00 ,15424.00 ,-,-5.35%
1995年4月,16807.00 ,16080.00 ,17110.00 ,15256.00 ,-,4.13%
1995年5月,15437.00 ,16820.00 ,17190.00 ,15292.00 ,-,-8.15%
1995年6月,14517.00 ,15481.00 ,16016.00 ,14376.00 ,-,-5.96%
1995年7月,16678.00 ,14519.00 ,17018.00 ,14296.00 ,-,14.89%
1995年8月,18117.00 ,16645.00 ,18300.00 ,16274.00 ,-,8.63%
1995年9月,17913.00 ,18053.00 ,18848.00 ,17503.00 ,-,-1.13%
1995年10月,17655.00 ,17921.00 ,18547.00 ,17337.00 ,-,-1.44%
1995年11月,18744.00 ,17623.00 ,18847.00 ,17409.00 ,-,6.17%
1995年12月,19868.00 ,18752.00 ,20024.00 ,18696.00 ,-,6.00%
1996年1月,20813.00 ,19946.00 ,21022.00 ,19946.00 ,-,4.76%
1996年2月,20125.00 ,20806.00 ,21157.00 ,19879.00 ,-,-3.31%
1996年3月,21407.00 ,20094.00 ,21486.00 ,19628.00 ,-,6.37%
1996年4月,22041.00 ,21451.00 ,22348.00 ,21350.00 ,-,2.96%
1996年5月,21956.00 ,22031.00 ,22311.00 ,21171.00 ,-,-0.39%
1996年6月,22531.00 ,21971.00 ,22757.00 ,21589.00 ,-,2.62%
1996年7月,20693.00 ,22568.00 ,22600.00 ,20628.00 ,-,-8.16%
1996年8月,20167.00 ,20665.00 ,21398.00 ,20092.00 ,-,-2.54%
1996年9月,21556.00 ,20187.00 ,21604.00 ,19920.00 ,-,6.89%
1996年10月,20467.00 ,21533.00 ,21789.00 ,20450.00 ,-,-5.05%
1996年11月,21020.00 ,20498.00 ,21461.00 ,20388.00 ,-,2.70%
1996年12月,19361.00 ,21035.00 ,21068.00 ,18820.00 ,-,-7.89%
1997年1月,18330.00 ,19364.00 ,19501.00 ,17020.00 ,-,-5.33%
1997年2月,18557.00 ,18308.00 ,19229.00 ,17792.00 ,-,1.24%
1997年3月,18003.00 ,18517.00 ,18750.00 ,17617.00 ,-,-2.99%
1997年4月,19151.00 ,17935.00 ,19195.00 ,17448.00 ,-,6.38%
1997年5月,20069.00 ,19232.00 ,20612.00 ,19188.00 ,-,4.79%
1997年6月,20605.00 ,20084.00 ,20911.00 ,20041.00 ,-,2.67%
1997年7月,20331.00 ,20562.00 ,20699.00 ,19496.00 ,-,-1.33%
1997年8月,18229.00 ,20345.00 ,20399.00 ,17974.00 ,-,-10.34%
1997年9月,17888.00 ,18215.00 ,18775.00 ,17564.00 ,-,-1.87%
1997年10月,16459.00 ,17820.00 ,17937.00 ,16082.00 ,-,-7.99%
1997年11月,16633.00 ,16494.00 ,17006.00 ,14966.00 ,-,1.06%
1997年12月,15259.00 ,16594.00 ,17118.00 ,14569.00 ,-,-8.26%
